ID;Label
0;""""""":func:`~pandas"
1;"""wtforms"
2;(r'
3;)
4;"*"""
5;/kddcup99-mld/kddcup
6;/licenses/>
7;/licenses/BSD-3-Clause
8;/mixture/dpgmm
9;/test_layer
10;://github
11;://pyserial
12;://www
13;:`grid_search`
14;:mod:`scipy
15;<alexandre
16;<arnaud
17;<s8wu@uwaterloo
18;@inria
19;@normalesup
20;AWS
21;CVXcanon
22;ConfigArgParse
23;Crypto
24;Cython
25;Distribution
26;Fiona
27;GCS
28;IPython
29;Interface
30;License
31;Magic
32;Numeric
33;Oct
34;OpenSSL
35;PyHive
36;PyMySQL
37;PyQt4
38;PyQt5
39;PySide
40;PySide2
41;PyTd
42;Pyro
43;SGETask
44;SOFTWARE
45;SONManipulators
46;Shapely
47;System
48;TableEditor
49;UTS46
50;V
51;XlsxWriter
52;__init__
53;_root
54;_version
55;`
56;``PyQt5
57;`sys
58;`tornado
59;a
60;a2b_hex
61;abc
62;absolute_import
63;abspath
64;abstract_adapter_factory
65;abstract_factory
66;abstract_type_system
67;action
68;actions
69;adapt
70;adaptable
71;adapter_base
72;adapter_manager
73;add_parser_json
74;adding
75;address
76;adjusted_rand_score
77;aeon
78;affine
79;affinity_propagation
80;again
81;all
82;all_names
83;alloc_hook
84;an
85;anaconda-clean
86;anaconda-project
87;anaconda-verify
88;anaconda_project
89;anaconda_verify
90;and
91;animated_gif_editor_26
92;animated_gif_editor_28
93;any
94;any_context_data_name_item
95;any_data_name_item
96;anything
97;api
98;apigen
99;appdirs
100;appnope
101;apptools
102;arange
103;are
104;argparse
105;array
106;arrow
107;assert_
108;assert_allclose
109;assert_array_almost_equal
110;assert_array_equal
111;assert_equal
112;assert_greater
113;assert_raise_message
114;assert_raises
115;assert_series_equal
116;ast
117;ast
118;astor
119;astropy
120;asyncio
121;asyncore
122;atexit
123;atexit
124;attr
125;authentication
126;auxlib
127;azure-sdk-for-python
128;b
129;babel
130;backports
131;backports.shutil_get_terminal_size
132;badmodule
133;badsyntax
134;base
135;base64
136;base_doc
137;basedevice
138;basename
139;bcrypt
140;bdb
141;bdb
142;bdist_mpkg
143;because
144;being
145;below:
146;bench_oneshot
147;better!
148;between
149;bilingual
150;binarization
151;binascii
152;bind_event
153;binding
154;binstar_client
155;bisect
156;bitarray
157;bleach
158;bokeh
159;boto
160;boto3
161;botocore
162;bottlechest
163;bs4
164;bsdiff4
165;bson
166;build
167;build_control
168;build_data_train
169;build_url
170;buildutils
171;builtins
172;bundled
173;by
174;bz2
175;bz2file
176;cPickle
177;cProfile
178;cStringIO
179;c_parser
180;cachecontrol
181;cached-property
182;cached_property
183;calendar
184;can
185;canny
186;capwords
187;cast_bytes_py2
188;cdecimal
189;certgen
190;certifi
191;cffi
192;cgi
193;change
194;chardet
195;check_skip_network
196;cherrypy
197;chest
198;choice
199;clapack_scrub
200;class_doc
201;classes
202;classification
203;click
204;click-plugins
205;click_plugins
206;cligj
207;clint
208;cloudpickle
209;clyent
210;code
211;code_assist
212;code_generators
213;codecs
214;codecs
215;codeop
216;codetools
217;coding:
218;coding=utf-8
219;colander
220;collection
221;collections
222;collections
223;color_editor
224;color_view
225;colorama
226;colorcet
227;"colorcet;"
228;colorsys
229;combobox_focus_handler
230;command
231;commands
232;common
233;common_tests
234;compat
235;compatibility
236;compiler
237;comports
238;composite
239;concat
240;concurrent
241;conda
242;conda-build
243;conda-verify
244;conda/wiki/VC-features
245;conda_build
246;conda_build_test
247;conda_env
248;conda_verify
249;conf
250;config
251;configargparse
252;configparser
253;configuration
254;connect
255;constant_names
256;constantly
257;constants
258;constructor
259;constructor/__init__
260;context
261;context_data_name_item
262;context_monitor
263;context_node_type
264;context_test_case
265;contextlib
266;contextmanager
267;contrib
268;contributors
269;convert
270;convert_bitmap
271;convert_xml_to_json
272;convex_hull_image
273;convolve2d
274;cookies
275;copy
276;copy_reg
277;copyreg
278;correct
279;count
280;coverage
281;cpuinfo
282;cpython
283;create_hit_external
284;create_hit_test
285;create_hit_with_qualifications
286;create_scriptable_type
287;cross_origin
288;cryptography
289;cs_graph_components
290;csr_matrix
291;cssselect
292;csv
293;ctypes
294;ctypes
295;currently
296;curses
297;custom_traithandler
298;cvxpy
299;cymem
300;cython
301;cythonize
302;cytoolz
303;dask
304;data
305;dataproc
306;datashader
307;"datashader;"
308;datashape
309;date_editor
310;datetime
311;datetime
312;dateutil
313;datrie
314;debug_print
315;dec
316;decimal
317;decorator
318;def
319;default_theme
320;defaultdict
321;definition_items
322;definitions
323;deque
324;descartes
325;dev_skip_test
326;dicom
327;dict_context_adapter
328;dict_context_adapter_factory
329;difflib
330;directed_hausdorff
331;dirname
332;dis
333;disaster_model
334;dissolving
335;dist_metrics
336;distance
337;distutils
338;division
339;django
340;do_later
341;doc_action
342;dock_pane
343;dock_sizer
344;docscrape
345;docscrape_sphinx
346;doctest
347;doctest
348;doctest_tools
349;documentation
350;docutils
351;download
352;download_sample_data
353;dump
354;dynamize_value
355;e
356;ecdsa
357;editdistance
358;editor
359;editor_factory
360;egg_info
361;eig
362;elasticsearch
363;email
364;enable
365;enaml
366;enaml_decl_doc
367;enaml_panes
368;enaml_task
369;enthought_sphinx_theme
370;enthoughtinterpolate
371;entrypoints
372;enum
373;envisage
374;eq_
375;errno
376;errno
377;error
378;escape
